Country/Region,location,continent,population_year,population
Afghanistan,Afghanistan,Asia,2021,39835428
Albania,Albania,Europe,2021,2872934
Algeria,Algeria,Africa,2021,44616626
Andorra,Andorra,Europe,2021,77354
Angola,Angola,Africa,2021,33933611
Antigua and Barbuda,Antigua and Barbuda,North America,2021,98728
Argentina,Argentina,South America,2021,45605823
Armenia,Armenia,Asia,2021,2968128
Australia,Australia,Oceania,2021,25788217
Austria,Austria,Europe,2021,9043072
Azerbaijan,Azerbaijan,Asia,2021,10223344
Bahamas,Bahamas,North America,2021,396914
Bahrain,Bahrain,Asia,2021,1748295
Bangladesh,Bangladesh,Asia,2021,166303494
Barbados,Barbados,North America,2021,287708
Belarus,Belarus,Europe,2021,9442867
Belgium,Belgium,Europe,2021,11632334
Belize,Belize,North America,2021,404915
Benin,Benin,Africa,2021,12451031
Bhutan,Bhutan,Asia,2021,779900
Bolivia,Bolivia,South America,2021,11832936
Bosnia and Herzegovina,Bosnia and Herzegovina,Europe,2021,3263459
Botswana,Botswana,Africa,2021,2397240
Brazil,Brazil,South America,2021,213993441
Brunei,Brunei,Asia,2021,441532
Bulgaria,Bulgaria,Europe,2021,6896655
Burkina Faso,Burkina Faso,Africa,2021,21497097
Burundi,Burundi,Africa,2021,12255429
Cambodia,Cambodia,Asia,2021,16946446
Cameroon,Cameroon,Africa,2021,27224262
Canada,Canada,North America,2021,38067913
Cabo Verde,Cape Verde,Africa,2021,561901
Central African Republic,Central African Republic,Africa,2021,4919987
Chad,Chad,Africa,2021,16914985
Chile,Chile,South America,2021,19212362
China,China,Asia,2021,1444216102
Colombia,Colombia,South America,2021,51265841
Comoros,Comoros,Africa,2021,888456
Congo (Brazzaville),Congo,Africa,2021,5657017
Costa Rica,Costa Rica,North America,2021,5139053
Cote d'Ivoire,Cote d'Ivoire,Africa,2021,27053629
Croatia,Croatia,Europe,2021,4081657
Cuba,Cuba,North America,2021,11317498
Cyprus,Cyprus,Europe,2021,896005
Czechia,Czechia,Europe,2021,10724553
Congo (Kinshasa),Democratic Republic of Congo,Africa,2021,92377986
Denmark,Denmark,Europe,2021,5813302
Djibouti,Djibouti,Africa,2021,1002197
Dominica,Dominica,North America,2021,72172
Dominican Republic,Dominican Republic,North America,2021,10953714
Ecuador,Ecuador,South America,2021,17888474
Egypt,Egypt,Africa,2021,104258327
El Salvador,El Salvador,North America,2021,6518500
Equatorial Guinea,Equatorial Guinea,Africa,2021,1449891
Eritrea,Eritrea,Africa,2021,3601462
Estonia,Estonia,Europe,2021,1325188
Eswatini,Eswatini,Africa,2021,1172369
Ethiopia,Ethiopia,Africa,2021,117876226
Fiji,Fiji,Oceania,2021,902899
Finland,Finland,Europe,2021,5548361
France,France,Europe,2021,67564251
Gabon,Gabon,Africa,2021,2278829
Gambia,Gambia,Africa,2021,2486937
Georgia,Georgia,Asia,2021,3979773
Germany,Germany,Europe,2021,83900471
Ghana,Ghana,Africa,2021,31732128
Greece,Greece,Europe,2021,10370747
Grenada,Grenada,North America,2021,113015
Guatemala,Guatemala,North America,2021,18249868
Guinea,Guinea,Africa,2021,13497237
Guinea-Bissau,Guinea-Bissau,Africa,2021,2015490
Guyana,Guyana,South America,2021,790329
Haiti,Haiti,North America,2021,11541683
Honduras,Honduras,North America,2021,10062994
Hong Kong,Hong Kong,Asia,2021,7552800
Hungary,Hungary,Europe,2021,9634162
Iceland,Iceland,Europe,2021,343360
India,India,Asia,2021,1393409033
Indonesia,Indonesia,Asia,2021,276361788
International,International,,,
Iran,Iran,Asia,2021,85028760
Iraq,Iraq,Asia,2021,41179351
Ireland,Ireland,Europe,2021,4982904
Israel,Israel,Asia,2021,8789776
Italy,Italy,Europe,2021,60367471
Jamaica,Jamaica,North America,2021,2973462
Japan,Japan,Asia,2021,126050796
Jordan,Jordan,Asia,2021,10269022
Kazakhstan,Kazakhstan,Asia,2021,18994958
Kenya,Kenya,Africa,2021,54985702
Kiribati,Kiribati,Oceania,2021,121388
Kosovo,Kosovo,Europe,2021,1775378
